Caltrans District ID Number,Route Number,Route Suffix,County,Postmile Prefix,Postmile Number,Postmile Suffix,Description of Location,South or Westbound Peak Hour,South or Westbound Peak Month,South or Westbound Annual Average Daily Traffic (AADT),North or Eastbound Peak Hour,North or Eastbound Peak Month,North or Eastbound Annual Average Daily Traffic (AADT),Location
1,1,,Mendocino,,59.803,,JCT. RTE. 20 EAST,2000,23000,19500,1950,24000,21000,"(39.42013912, -123.807926)"
1,1,,Mendocino,,60.68,,"FORT BRAGG, CYPRESS AVENUE",2700,31500,27100,1950,22100,19100,"(39.43271764, -123.8062143)"
1,1,,Mendocino,,61.471,,"FORT BRAGG, REDWOOD AVENUE",1450,16300,14200,1850,21200,18600,"(39.44419908, -123.8059753)"
1,1,,Mendocino,,62.36,,"FORT BRAGG, NORTH CITY LIMITS",1050,12200,10000,1200,10000,8100,"(39.45700452, -123.8060666)"
1,1,,Mendocino,,62.8,,"AIRPORT ROAD, FORT BRAGG, NORTH",1200,10000,8100,1050,8000,6500,"(39.46319365, -123.8057484)"
1,1,,Mendocino,R,64.858,,MAC KERRICHER STATE PARK,850,6000,4400,280,2050,1400,"(39.48792679, -123.7873316)"
1,1,,Mendocino,,77.66,,"WESTPORT, NORTH",120,1200,850,120,1200,850,"(39.6414259, -123.7845806)"
1,1,,Mendocino,,90.874,,JCT. RTE. 211 NORTH,120,1200,800,110,1050,680,"(39.78036816, -123.8315892)"
1,1,,Mendocino,,105.501,,"LEGGETT, JCT. RTE. 271",110,1100,680,100,1000,630,"(39.8682699, -123.7150089)"
1,1,,Mendocino,,105.578,,"LEGGETT, JCT. RTE. 101",100,1000,630,,,,"(39.86816499, -123.7135928)"
1,20,,Lake,,0,,MENDOCINO/LAKE COUNTY LINE,,,,860,9200,8300,"(39.19161175, -123.0403452)"
1,20,,Mendocino,R,0,,"JCT. RTE. 1, FORT BRAGG, SOUTH",,,,1000,9100,8500,"(39.42007479, -123.8079066)"
1,20,,Mendocino,R,0.274,,SOUTH HARBOR DRIVE,1000,9100,8500,760,7000,6400,"(39.41928236, -123.8029596)"
1,20,,Mendocino,,2.08,,SUMMER LANE,760,7000,6400,320,4200,3200,"(39.41519536, -123.7711051)"
1,20,,Lake,,3.63,,SCOTT VALLEY ROAD,860,9200,8300,910,9600,8700,"(39.15803669, -122.9932499)"
1,20,,Lake,,8.319,,JCT. RTE. 29 SOUTH,870,9500,8600,860,9000,8300,"(39.1634845, -122.921071)"
1,20,,Lake,,12.199,,LUCERNE CUTOFF,860,9000,8300,1250,13000,12000,"(39.1299294, -122.8698533)"
1,20,,Mendocino,,17.285,,CHAMBERLAIN CREEK,230,3200,2200,250,3300,2400,"(39.35269714, -123.5559439)"
1,20,,Lake,,18.53,,"LUCERNE, EAST; BELL RAY AVENUE",940,9900,9000,800,8500,7700,"(39.07653775, -122.783097)"
1,20,,Lake,,25.97,,"CLEAR LAKE OAKS, EAST",630,6700,6000,650,6800,6100,"(39.02028692, -122.704556)"
1,20,,Lake,,31.62,,JCT. RTE. 53 SOUTH,840,8800,8000,900,7800,6800,"(39.00876487, -122.6143539)"
1,20,,Mendocino,,32.437,,"WILLITS, WEST CITY LIMITS",280,3700,2600,820,6000,4900,"(39.40554348, -123.3649522)"
1,20,,Mendocino,R,33.159,,NORTH JCT. RTE. 101,620,6900,6200,1200,12400,11600,"(39.23988527, -123.2074766)"
1,20,,Mendocino,,33.22,,SOUTH JCT. RTE. 101,1200,12400,11600,1250,12400,11600,"(39.23990872, -123.2074283)"
1,20,,Mendocino,,33.769,,REDWOOD VALLEY ROAD,1250,12500,11600,1250,12300,11600,"(39.243482, -123.198578)"
1,20,,Mendocino,R,38.054,,POTTER VALLEY ROAD,1150,12200,11500,1100,11400,10400,"(39.24593371, -123.1280444)"
1,20,,Mendocino,,44.114,,MENDOCINO/LAKE COUNTY LINE,1100,11400,10400,,,,"(39.19161175, -123.0403452)"
1,20,,Lake,,46.475,,LAKE/COLUSA COUNTY LINE,760,6400,5100,,,,"(39.0113152, -122.409353)"
1,29,,Lake,,0,,NAPA/LAKE COUNTY LINE,,,,930,8400,7800,"(38.67600211, -122.5919871)"
1,29,,Lake,,4.15,,RANCHERIA ROAD,800,9500,9100,850,10100,9700,"(38.73175442, -122.6229094)"
1,29,,Lake,,4.54,,DRY CREEK CUTOFF,850,10100,9700,1100,11700,11000,"(38.73670087, -122.6260683)"
1,29,,Lake,,5.811,,"MIDDLETOWN, JCT. RTE. 175",1200,12400,11700,1200,12500,11800,"(38.75253271, -122.6151511)"
1,29,,Lake,,6.36,,"MIDDLETOWN, BUTTS CANYON ROAD",1200,12500,11800,1200,12800,12000,"(38.75671895, -122.6074787)"
1,29,,Lake,,11.124,,HIDDEN VALLEY/SPRUCE ROAD,1050,11500,10900,940,10300,9700,"(38.8091598, -122.5728256)"
1,29,,Lake,,11.93,,SPRUCE GROVE ROAD,940,10300,9700,940,10300,9700,"(38.81994027, -122.576591)"
1,29,,Lake,,20.31,,JCT. RTE. 53 NORTH,1150,12300,11400,1100,12400,11400,"(38.91014268, -122.6123391)"
1,29,,Lake,,21.65,,SEIGLER CANYON ROAD,1100,12400,11400,1050,11400,10400,"(38.91043768, -122.6368404)"
1,29,,Lake,,22.19,,POINT LAKEVIEW DRIVE,1050,11400,10400,910,10100,9300,"(38.91040906, -122.6463521)"
1,29,,Lake,,27.89,,JCT. RTE. 281,910,10100,9300,860,9400,8600,"(38.92962775, -122.7413069)"
1,29,,Lake,,31.05,,JCT. RTE. 175,990,10200,9600,1000,10600,10100,"(38.942596, -122.7921577)"
1,29,,Lake,,32.35,,BOTTLE ROCK ROAD,1150,11900,11000,1150,11900,11100,"(38.94457667, -122.8151352)"
1,29,,Lake,R,34.58,,"MAIN STREET, (TO KELSEYVILLE)",1150,12000,11200,1150,11900,11000,"(38.971014, -122.8303492)"
1,29,,Lake,R,34.747,,"KELSEYVILLE, LIVE OAK DRIVE",1150,11900,11000,1050,12100,11300,"(38.97237216, -122.8328835)"
1,29,,Lake,R,35.32,,"KELSEYVILLE, BELL HILL ROAD",1050,11600,10800,910,10400,9800,"(38.97558541, -122.8423049)"
1,29,,Lake,R,36.289,,RENFRO DRIVE,910,10400,9800,1250,13800,12800,"(38.98401066, -122.8568897)"
1,29,,Lake,R,37.669,,ARGONAUT ROAD,1250,14100,13000,1250,13800,12900,"(38.99388167, -122.879187)"
1,29,,Lake,R,38.592,,HIGHLAND SPRINGS ROAD,1200,13100,12300,1200,13300,12400,"(39.00077636, -122.8939111)"
1,29,,Lake,R,40.14,,JCT. RTE. 175,1300,13400,13000,1500,15600,15100,"(39.01684694, -122.9128631)"
1,29,,Lake,R,41.423,,"LAKEPORT, LAKEPORT BOULEVARD ",1300,14500,13600,1400,16400,15100,"(39.03344227, -122.9239019)"
1,29,,Lake,R,42.677,,11TH STREET,1400,16400,15100,1250,13100,12800,"(39.04985924, -122.9313949)"
1,29,,Lake,R,45.145,,PARK WAY ,1250,13100,12800,980,10300,10100,"(39.08419695, -122.9260455)"
1,29,,Lake,R,47.849,,LUCERNE,980,10300,10100,870,6600,6300,"(39.11821825, -122.9049657)"
1,29,,Lake,,52.539,,"JCT. RTE. 20, UPPER LAKE",860,6600,6300,,,,"(39.16343097, -122.9207646)"
1,36,,Humboldt,,0,,"ALTON, JCT. RTE. 101",,,,610,5200,4300,"(40.54862242, -124.1454014)"
1,36,,Humboldt,,0.298,,EAST LIMITS ALTON,610,5200,4300,610,5300,4300,"(40.54855435, -124.1397848)"
1,36,,Humboldt,,2.811,,"HYDESVILLE, ROHNERVILLE ROAD",580,5100,4000,570,5300,4000,"(40.54763066, -124.096962)"
1,36,,Humboldt,,3.27,,EAST LIMITS HYDESVILLE,590,5600,4200,540,4700,4000,"(40.54578901, -124.0889621)"
1,36,,Humboldt,,7.54,,"CARLOTTA, EAST",270,2400,2100,270,2400,2100,"(40.51938097, -124.0235381)"
1,36,,Humboldt,R,23.709,,WEST LIMITS BRIDGEVILLE,370,2000,1450,320,1750,1250,"(40.46820987, -123.8029291)"
1,36,,Humboldt,R,23.916,,"BRIDGEVILLE, ALDERPOINT ROAD",320,1750,1250,290,1600,1150,"(40.46849233, -123.7992912)"
1,36,,Humboldt,,43.955,,EAST LIMITS COBB,150,1400,1100,140,1400,1050,"(40.47882907, -123.5709457)"
1,36,,Humboldt,,45.681,,HUMBOLDT/TRINITY COUNTY LINE,160,1300,1150,,,,"(40.46553654, -123.5444816)"
1,53,,Lake,,0,,"LOWER LAKE, JCT. RTE. 29",,,,2900,19300,18100,"(38.91014253, -122.612284)"
1,53,,Lake,,1.47,,"LAKESHORE DRIVE, OLD STATE HIGHWAY",2500,18400,17100,2500,19500,18000,"(38.93003152, -122.618817)"
1,53,,Lake,,2.96,,"CLEARLAKE HIGHLANDS, 40TH AVENUE",2500,19500,18000,1200,10600,9100,"(38.95069549, -122.6230438)"
1,53,,Lake,,7.445,,JCT. RTE. 20,820,8700,8300,,,,"(39.008839, -122.613762)"
1,96,,Humboldt,,0,,"WILLOW CREEK, JCT. RTE. 299",,,,280,3000,2850,"(40.9393743, -123.6314436)"
1,96,,Humboldt,,0.1,,STANDARD OIL LANE,280,3000,2850,200,1950,1850,"(40.94074242, -123.6315141)"
1,96,,Humboldt,,3.59,,"WILLOW CREEK, NORTH",200,1950,1850,190,1950,1850,"(40.98980261, -123.6370613)"
1,96,,Humboldt,,10.95,,SOUTH LIMITS HOOPA,380,4100,3700,350,3900,3500,"(41.04443636, -123.6724283)"
1,96,,Humboldt,,12.83,,NORTH LIMITS HOOPA,240,2600,2450,200,2450,2100,"(41.06848387, -123.6867593)"
1,96,,Humboldt,,23.086,,"WEITCHPEC, JCT. RTE. 169",80,820,750,60,580,520,"(41.18663941, -123.7046418)"
1,96,,Humboldt,,37.87,,EYESEE ROAD,110,1100,900,110,1150,900,"(41.29913622, -123.551416)"
1,96,,Humboldt,,38.5,,"ORLEANS, NORTH",110,1150,900,110,1150,900,"(41.30290713, -123.5366301)"
1,96,,Humboldt,R,38.773,,"KLAMATH RIVER, NORTH",90,590,550,90,590,550,"(41.30352132, -123.5314172)"
1,96,,Humboldt,R,44.979,,HUMBOLDT/SISKIYOU COUNTY LINE,70,490,420,,,,"(41.37713823, -123.4881886)"
1,101,,Humboldt,T,0,,MENDOCINO/HUMBOLDT COUNTY,,,,710,5600,4600,"(40.00178353, -123.7832848)"
1,101,,Del Norte,M,0,,HUMBOLDT/DEL NORTE COUNTY LINE,,,,420,4600,2900,"(41.46469104, -124.0374178)"
1,101,,Humboldt,T,0.076,,TEMPORARY JCT. RTE. 271 SOUTH,710,5600,4600,730,5700,4800,"(40.00289547, -123.783189)"
1,101,,Mendocino,R,0.103,,SONOMA/MENDOCINO COUNTY LINE,,,,1300,16000,15000,"(38.85257565, -123.0317461)"
1,101,,Humboldt,,1.61,,RICHARDSON GROVE,730,5700,4800,790,5700,4800,"(40.02140372, -123.7933456)"
1,101,,Del Norte,R,3.56,,SOUTH BANK ROAD ,420,4600,2900,480,5400,3400,"(41.508707, -124.0307125)"
1,101,,Del Norte,R,4.638,,"KLAMATH, JCT. RTE. 169 SOUTHEAST",480,5400,3400,550,5500,3800,"(41.52300691, -124.0340976)"
1,101,,Del Norte,,8.176,,REQUA ROAD,690,6800,4500,690,6800,4500,"(41.55423941, -124.0552303)"
1,101,,Humboldt,R,8.6,,LAKE BENBOW ,790,5700,4800,910,7600,5800,"(40.06516377, -123.7858044)"
1,101,,Del Norte,,8.804,,NEW HUNTER CREEK ROAD,690,6800,4500,680,6600,4400,"(41.56152, -124.062619)"
1,101,,Mendocino,,9.17,,EAST SIDE ROAD (OLD HOPLAND),1300,16800,15000,1300,16800,15000,"(38.95295762, -123.0988195)"
1,101,,Mendocino,,10.81,,MOUNTAIN HOUSE ROAD,1300,16800,15000,1300,16800,15000,"(38.97008773, -123.1164517)"
1,101,,Del Norte,,10.87,,TREES OF MYSTERY,680,6600,4400,640,6500,4200,"(41.58405868, -124.0864024)"
1,101,,Mendocino,,10.89,,"HOPLAND, JCT. RTE. 175 EAST",1250,16900,15100,1250,16900,15100,"(38.971242, -123.11659)"
1,101,,Humboldt,R,11.125,,"GARBERVILLE, SPROWEL CREEK ROAD",910,7600,5800,570,5000,3800,"(40.098744, -123.796685)"
1,101,,Humboldt,R,11.499,,REDWOOD DRIVE ,570,4950,3800,760,6200,4900,"(40.103899, -123.795583)"
1,101,,Humboldt,R,14.313,,DEAN CREEK,760,6200,4900,970,8700,6700,"(40.14080776, -123.8085178)"
1,101,,Humboldt,R,17.907,,JCT. RTE. 254 NORTHEAST,970,8700,6700,850,8000,5800,"(40.1820189, -123.7760112)"
1,101,,Mendocino,,19.683,,EL ROBLE,1250,16900,15100,1550,16600,15200,"(39.08372365, -123.1819238)"
1,101,,Mendocino,,20.711,,ROBINSON,1550,16600,15200,1650,17400,15800,"(39.09741185, -123.1894949)"
1,101,,Mendocino,R,21.59,,JCT. RTE. 253 WEST,1650,17400,15800,1850,21700,18100,"(39.109203, -123.195017)"
1,101,,Humboldt,R,22.435,,FRENCH ROAD ,850,8000,5800,730,6700,5200,"(40.21788115, -123.8186873)"
1,101,,Mendocino,R,23.45,,UKIAH JCT. RTE. 222 EAST,2150,25000,20300,2350,28500,22400,"(39.13600176, -123.1955732)"
1,101,,Del Norte,,23.77,,HUMBOLDT ROAD; BLUFF ROAD,700,7100,4600,680,7100,4500,"(41.73555517, -124.1528657)"
1,101,,Mendocino,R,24.062,,"UKIAH, GOBBI STREET ",2350,28500,22400,2450,31000,23000,"(39.144867, -123.196237)"
1,101,,Del Norte,,24.41,,SANDMINE ROAD,640,6700,4300,880,9100,6300,"(41.74015795, -124.1625149)"
1,101,,Mendocino,R,24.527,,"UKIAH, EAST PERKINS STREET",2450,31000,23000,3100,37000,29000,"(39.15159759, -123.196718)"
1,101,,Humboldt,,25.01,,SALMON CREEK ROAD ,730,6700,5200,740,6900,5300,"(40.25094097, -123.8317909)"
1,101,,Del Norte,,25.84,,"CRESCENT CITY, ELK VALLEY ROAD",1650,15000,11800,1900,21600,17000,"(41.75214321, -124.1850091)"
1,101,,Mendocino,R,26.161,,NORTH STATE STREET,3100,37000,29000,3100,37000,29000,"(39.1711057, -123.2111211)"
1,101,,Del Norte,,26.183,R,"CRESCENT CITY, ON M STREET, BEGIN RIGHT ALIGN",,,,990,13600,10800,"(41.75305556, -124.1917136)"
1,101,,Del Norte,,26.183,L,"CRESENT CITY, ON L S/FRONT ST, BEGIN LEFT ALIGN",,,,1100,15500,12300,"(41.75305556, -124.1917136)"
1,101,,Del Norte,,26.211,R,"CRESCENT CITY, ON M STREET AT FRONT STREET",990,13600,10800,1200,12800,10000,"(41.7532764, -124.1921475)"
1,101,,Del Norte,,26.268,L,"CRESCENT CITY, ON L STREET AT FRONT STREET",1100,15500,12300,1600,16800,13100,"(41.75391696, -124.1927679)"
1,101,,Del Norte,,26.38,R,"CRESCENT CITY, ON M STREET AT 4TH STREET",1200,12700,10000,1600,17200,13400,"(41.75523444, -124.1940049)"
1,101,,Del Norte,,26.437,L,"CRESCENT CITY, ON L STREET AT 4TH STREET",1600,16800,13100,1650,17700,13700,"(41.75590641, -124.1946368)"
1,101,,Del Norte,,26.663,R,"CRESCENT CITY, ON M STREET AT 9TH STREET",1600,17200,13400,1600,18600,14400,"(41.75856644, -124.1972039)"
1,101,,Del Norte,,26.72,L,"CRESCENT CITY, ON L STREET AT 9TH STREET",1650,17700,13700,1600,17100,13300,"(41.75932778, -124.1976867)"
1,101,,Del Norte,,26.771,R,"CRESENT CITY, NORTH OF 9TH ST, END RIGHT ALIGN",1600,18600,14400,,,,"(41.76027622, -124.1977499)"
1,101,,Del Norte,,26.813,,"CRESENT CITY, NORTH OF 9 TH STREET",3650,39500,30500,3650,39500,30500,"(41.76027622, -124.1977499)"
1,101,,Del Norte,L,26.855,L,"CRESENT CITY, L ST, END OF LEFT ALIGN",1600,17100,13300,,,,"(41.76041558, -124.1979035)"
1,101,,Del Norte,,27.01,,"CRESCENT CITY, NORTHCREST DRIVE",3650,39500,30500,2000,21200,16300,"(41.763267, -124.196789)"
1,101,,Mendocino,,27.41,,LAKE MENDOCINO DRIVE ,3100,37000,29000,3000,35000,27800,"(39.19134713, -123.2104699)"
1,101,,Del Norte,R,27.872,,WASHINGTON BOULEVARD,2000,21200,16300,1300,14500,11300,"(41.77275587, -124.1872022)"
1,101,,Humboldt,,27.936,,JCT. RTE. 254,710,6600,5100,740,7000,5500,"(40.26645781, -123.8702097)"
1,101,,Mendocino,,30.434,,MOORE AVENUE,2800,34500,27700,2600,31500,26000,"(39.23431016, -123.2081528)"
1,101,,Del Norte,R,30.81,,JCT. RTE. 199 NORTHEAST,1300,14500,11300,700,8000,6300,"(41.8034146, -124.1483097)"
1,101,,Mendocino,,30.833,,JCT. RTE. 20 EAST,2600,31500,26000,2050,22000,20200,"(39.23997554, -123.20735)"
1,101,,Del Norte,,31.188,,ELK VALLEY CROSS ROAD,700,8000,6300,770,8400,6500,"(41.80773907, -124.1473542)"
1,101,,Mendocino,R,32.626,,WEST ROAD ,2050,22000,20200,1650,17100,15000,"(39.26189734, -123.2227769)"
1,101,,Humboldt,,33.246,,WEOTT,730,7000,5500,510,6500,5500,"(40.32175639, -123.9212031)"
1,101,,Humboldt,,35.108,,JCT. RTE. 254 SOUTH,510,6500,5500,720,7100,5500,"(40.34495444, -123.9314207)"
1,101,,Humboldt,,35.698,,SOUTH FORK ROAD,720,7100,5500,740,7100,5600,"(40.35292688, -123.9279424)"
1,101,,Del Norte,,36.31,,JCT. RTE. 197 SOUTHEAST,850,9200,7200,800,8800,6800,"(41.8815644, -124.1366773)"
1,101,,Humboldt,R,39.667,,REDCREST ,740,7100,5600,820,8000,5950,"(40.39753133, -123.947722)"
1,101,,Del Norte,,39.83,,FRED HAIGHT DRIVE,800,8800,6800,810,8900,6900,"(41.93019286, -124.1462185)"
1,101,,Humboldt,R,43.318,,BARKDULL ROAD,820,8000,5950,820,8000,5850,"(40.43499091, -123.9880048)"
1,101,,Mendocino,,45.167,,"WILLITS, SOUTH CITY LIMITS, MUIR MILL ROAD",1600,16400,14500,1750,20500,18300,"(39.38777848, -123.3452597)"
1,101,,Humboldt,R,45.902,,JCT. RTE. 254 SOUTHWEST,820,8000,5850,830,8300,6100,"(40.43997656, -124.0318531)"
1,101,,Mendocino,,46.363,,"WILLITS, JCT. RTE. 20 WEST",2050,23500,20600,2400,26500,23500,"(39.40414955, -123.3516139)"
1,101,,Del Norte,,46.492,,OREGON STATE LINE,890,8900,7300,,,,"(41.99846927, -124.2083024)"
1,101,,Mendocino,,47.517,,WILLITS NORTH CITY LIMITS,890,8600,7500,860,8300,7100,"(39.42008001, -123.3549386)"
1,101,,Humboldt,R,49.175,,SHIVELY ROAD,970,9900,7300,990,9900,7500,"(40.458956, -124.072976)"
1,101,,Humboldt,R,50.585,,SOUTH SCOTIA ROAD,990,9900,7500,1000,10400,7700,"(40.46823886, -124.0954802)"
1,101,,Humboldt,R,51.84,,JCT. RTE. 283 NORTHWEST,910,9200,6700,1000,10600,8200,"(40.48824875, -124.0983123)"
1,101,,Humboldt,R,52.602,,"RIO DELL, DAVIS STREET ",1000,10600,8200,1100,10800,8700,"(40.499196, -124.098967)"
1,101,,Humboldt,R,53.379,,"RIO DELL, SCENIC WAY ",1100,10800,8700,1500,16300,12900,"(40.50565435, -124.1093306)"
1,101,,Humboldt,,57.69,,JCT. RTE. 36 EAST,1150,14400,12900,2000,22500,17800,"(40.5486387, -124.1452685)"
1,101,,Humboldt,,58.69,,DRAKE HILL ROAD,2000,22500,17800,2000,22500,17800,"(40.56297854, -124.1477553)"
1,101,,Mendocino,,59.308,,JCT. RTE. 162 EAST,860,8200,7000,840,7800,6800,"(39.55526212, -123.4302148)"
1,101,,Humboldt,,59.503,,"FORTUNA, KENMAR ROAD ",2000,22500,17800,1450,15400,13000,"(40.57475011, -124.1489326)"
1,101,,Humboldt,,60.493,,12TH STREET,1450,15400,13000,1650,18000,15100,"(40.588053, -124.155294)"
1,101,,Humboldt,,61.531,,FORTUNA OH (MAIN STREET),1650,18000,15100,2450,27500,22800,"(40.59889459, -124.16732)"
1,101,,Humboldt,,62.229,,PALMER BOULEVARD,2450,27500,22800,2350,26500,22300,"(40.60494274, -124.1780304)"
1,101,,Humboldt,,63.099,,FINCH CREEK ROAD,2350,26500,22300,2000,21600,18500,"(40.61228787, -124.1910907)"
1,101,,Humboldt,,64.29,,"JCT. RTE. 211, SINGELY ROAD",2000,21600,18500,2100,22700,22700,"(40.62116994, -124.2100301)"
1,101,,Humboldt,,65.947,,LOLETA DRIVE,2100,22700,20700,2300,22600,21000,"(40.641862, -124.209252)"
1,101,,Humboldt,,68.207,,HOOKTON ROAD ,2300,22600,21000,2450,23600,21900,"(40.67203228, -124.2016749)"
1,101,,Mendocino,,68.78,,"LAYTONVILLE, SOUTH",840,7800,6800,830,7700,6800,"(39.67955997, -123.4760054)"
1,101,,Mendocino,,69.49,,"LAYTONVILLE, BRANSCOMB ROAD",830,7700,6900,770,7100,6200,"(39.68779267, -123.4831116)"
1,101,,Humboldt,,70.611,,FIELDS LANDING OH,2450,23600,21900,2500,23600,22100,"(40.70512841, -124.2096553)"
1,101,,Humboldt,,72.031,,ORCHARD STREET,2500,23600,22100,2700,25000,23600,"(40.72470467, -124.2149396)"
1,101,,Humboldt,,72.876,,KING SALMON AVENUE ,2700,25000,23600,2650,27000,25100,"(40.7359685, -124.210444)"
1,101,,Humboldt,,73.719,,SPRUCE POINT,2650,27000,25100,3050,34000,32000,"(40.744964, -124.199646)"
1,101,,Humboldt,,74.78,,HERRICK AVENUE,3050,34000,32000,3050,34000,31500,"(40.75809275, -124.1894443)"
1,101,,Humboldt,,75.91,,"EUREKA, MC CULLEN AVENUE",3150,35000,32500,3600,39500,35500,"(40.77420761, -124.1905102)"
1,101,,Humboldt,,76.33,,"EUREKA, HARRIS STREET",3500,36500,34500,4050,41500,39800,"(40.7791964, -124.1870388)"
1,101,,Humboldt,,76.65,,"EUREKA, HENDERSON STREET",4050,41500,39800,4050,41500,39800,"(40.78307348, -124.1834676)"
1,101,,Humboldt,,77.299,,"EUREKA, WABASH AVENUE",3550,34000,32500,3550,34000,32500,"(40.79153246, -124.1782542)"
1,101,,Humboldt,,77.85,,"EUREKA, SEVENTH STREET",4100,40000,39000,4450,42500,40500,"(40.79910422, -124.1750172)"
1,101,,Humboldt,,77.91,,"EUREKA, SIXTH STREET",4450,42500,40500,4050,37000,35500,"(40.79995877, -124.1750193)"
1,101,,Humboldt,,77.967,L,"EUREKA, ON BROADWAY/FIFTH, BEGIN LEFT ALIGN",,,,2200,21000,19500,"(40.80068114, -124.174748)"
1,101,,Humboldt,,78.026,R,"EUREKA, ON FIFTH/BROADWAY, BEGIN RIGHT ALIGN",,,,2350,23000,21500,"(40.80068114, -124.174748)"
1,101,,Humboldt,,78.026,L,"EUREKA, ON FOURTH STREET AT BROADWAY",2200,21000,19500,2150,21000,19500,"(40.80068114, -124.174748)"
1,101,,Humboldt,,78.56,R,"EUREKA, ON FIFTH STREET AT G STREET",2400,25000,23500,2700,27500,26000,"(40.80203401, -124.1649044)"
1,101,,Humboldt,,78.56,L,"EUREKA, ON FOURTH STREET AT G STREET",1850,21000,18500,2750,31000,29000,"(40.80203401, -124.1649044)"
1,101,,Humboldt,,78.68,R,"EUREKA, ON FIFTH STREET AT I STREET",2650,27000,25500,2100,21500,20000,"(40.80234986, -124.1627056)"
1,101,,Humboldt,,78.68,L,"EUREKA, ON FOURTH STREET AT I STREET",1950,21700,20500,2200,25500,23500,"(40.80234986, -124.1627056)"
1,101,,Humboldt,,79.06,L,"EUREKA, ON FOURTH STREET AT MYRTLE AVENUE",2050,24200,22300,1850,21700,19500,"(40.80332641, -124.1556872)"
1,101,,Humboldt,,79.126,R,"EUREKA, ON FIFTH STREET AT MYRTLE AVENUE",2150,23500,22000,2350,24200,22500,"(40.80362103, -124.1544214)"
1,101,,Humboldt,,79.168,R,"EUREKA, ON FIFTH STREET AT JCT. RTE. 255 NORTH",2350,24200,22500,,,,"(40.80387454, -124.1536007)"
1,101,,Humboldt,,79.168,L,"EUREKA, ON FOURTH STREET AT JCT. RTE. 255 N",1850,21700,19500,2050,19700,18500,"(40.80387454, -124.1536007)"
1,101,,Humboldt,,79.574,L,"EUREKA, W OF EUREKA SL BDGE, END LEFT ALIGN",2000,19700,18500,,,,"(40.80406315, -124.1459441)"
1,101,,Humboldt,,80.26,,"EUREKA, COLE AVENUE",4050,38500,36500,4050,38500,36500,"(40.80518003, -124.1333543)"
1,101,,Humboldt,,80.84,,"EUREKA, AIRPORT ROAD",4050,38500,36500,4050,38500,36500,"(40.80558, -124.122441)"
1,101,,Humboldt,,82.68,,INDIANOLA ROAD,4100,39000,37000,4100,39000,37000,"(40.82033824, -124.0930762)"
1,101,,Humboldt,,83.92,,"ARCATA, BAYSIDE ROAD",4150,40000,37500,4150,40000,37500,"(40.8350338, -124.0817888)"
